SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,SERVICE_DESCRIPTION,SERVICE_METHOD_NAME,MEDIAN_ALLOWED_AMT,LOWER_25_ALLOWED_AMT,UPPER_75_ALLOWED_AMT,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT
Organization,Confluence Health - Central Washington Hospital,Wenatchee,98807.0,Laminectomy,Outpatient Surgery,16525.74,13769.23,19343.39,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - Central Washington Hospital,Wenatchee,98807.0,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,398.52,327.56,420.36,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - Central Washington Hospital,Wenatchee,98807.0,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,385.49,352.23,445.03,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - Central Washington Hospital,Wenatchee,98807.0,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,414.72,321.92,414.72,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - East Wenatchee Clinic,East Wenatchee,98802.0,Hysteroscopy with Biopsy,Outpatient Surgery,5844.78,5416.37,7563.52,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - East Wenatchee Clinic,East Wenatchee,98802.0,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,310.91,310.91,340.01,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - East Wenatchee Clinic,East Wenatchee,98802.0,Echocardiogram,Outpatient Diagnostic,482.92,482.92,482.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - East Wenatchee Clinic,East Wenatchee,98802.0,Screening Digital Mammogram,Outpatient Diagnostic,291.17,291.17,291.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Deaconess Hospital,Spokane,99204.0,Hysteroscopy with Salpingo-oophorectomy,Outpatient Surgery,10694.45,9992.48,14138.11,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Deaconess Hospital,Spokane,99204.0,Esophagram,Outpatient Diagnostic,242.33,231.36,272.32,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Deaconess Hospital,Spokane,99204.0,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,372.1,365.43,381.51,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Medical Center,Kirkland,98034.0,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,311.04,276.3,337.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Statewide,,,,Coronary Artery Angiogram,Outpatient Surgery,8486.42,6815.32,14682.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Medical Center,Kirkland,98034.0,Spine Epidural Injection,Outpatient Diagnostic,1412.38,782.56,1722.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Medical Center,Kirkland,98034.0,Esophagram,Outpatient Diagnostic,235.57,214.42,293.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Medical Center,Kirkland,98034.0,Bone Mineral Density Scan,Outpatient Diagnostic,193.8,192.82,241.86,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Medical Center,Kirkland,98034.0,Screening Digital Mammogram,Outpatient Diagnostic,255.93,197.87,255.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Medical Center,Kirkland,98034.0,Mastectomy with Breast Reconstruction: Outpatient,Outpatient Surgery,31539.24,28529.32,34475.75,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Monroe,Monroe,98272.0,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,2054.47,1953.46,2483.14,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Monroe,Monroe,98272.0,Diagnostic Colonoscopy,Outpatient Surgery,1996.72,1938.73,2295.25,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Monroe,Monroe,98272.0,MRI of the Spine,Outpatient Diagnostic,963.48,955.76,1913.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Monroe,Monroe,98272.0,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,225.52,84.94,228.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Evergreenhealth Monroe,Monroe,98272.0,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,297.65,184.77,300.3,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Ferry County Memorial Hospital,Republic,99166.0,X-ray of Knee: 3+ Views,Outpatient Diagnostic,271.7,263.85,279.54,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Ferry County Memorial Hospital,Republic,99166.0,Echocardiogram,Outpatient Diagnostic,1938.7,1909.05,1938.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Forks Community Hospital,Forks,98331.0,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,5903.03,5200.42,6480.12,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Pullman Regional Hospital,Pullman,99163.0,Diagnostic Colonoscopy,Outpatient Surgery,1950.21,1646.45,2017.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Pullman Regional Hospital,Pullman,99163.0,Bone Mineral Density Scan,Outpatient Diagnostic,66.23,66.23,66.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Samaritan Healthcare,Moses Lake,98837.0,Breast Biopsy Including Ultrasound Guidance,Outpatient Surgery,3614.84,3460.02,3672.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Samaritan Healthcare,Moses Lake,98837.0,Hysteroscopy with Salpingo-oophorectomy,Outpatient Surgery,17726.58,15127.95,22605.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Samaritan Healthcare,Moses Lake,98837.0,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,535.67,533.94,637.43,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Samaritan Healthcare,Moses Lake,98837.0,Bone Mineral Density Scan,Outpatient Diagnostic,343.77,320.77,351.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Skagit Valley Hospital,Mount Vernon,98274.0,Partial Mastectomy,Outpatient Surgery,16326.82,14737.28,19608.43,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Skagit Valley Hospital,Mount Vernon,98274.0,Hysteroscopy with Biopsy,Outpatient Surgery,2889.2,1749.26,7423.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Skagit Valley Hospital,Mount Vernon,98274.0,Esophagram,Outpatient Diagnostic,418.73,140.35,536.38,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Skagit Valley Hospital,Mount Vernon,98274.0,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,339.95,107.8,439.0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Snoqualmie Valley Hospital,Snoqualmie,98065.0,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,514.7,514.7,514.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Anthony Hospital,Gig Harbor,98332.0,Total Hysterectomy: Laparoscopic,Outpatient Surgery,20804.12,14927.81,24754.24,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Anthony Hospital,Gig Harbor,98332.0,Echocardiogram,Outpatient Diagnostic,1329.47,1243.91,1372.38,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Anthony Hospital,Gig Harbor,98332.0,Screening Digital Mammogram,Outpatient Diagnostic,267.63,210.62,276.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Elizabeth Hospital,Enumclaw,98022.0,Diagnostic Colonoscopy,Outpatient Surgery,3501.26,2958.0,5076.58,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Valley Medical Center,Renton,98055.0,Colonoscopy and Biopsy,Outpatient Surgery,2492.1,2361.53,2919.74,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Valley Medical Center,Renton,98055.0,Hysteroscopy with Salpingo-oophorectomy,Outpatient Surgery,14052.4,9932.63,20252.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Medical Center,Seattle,98101.0,Discectomy,Outpatient Surgery,15621.42,12736.77,17169.99,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Medical Center,Seattle,98101.0,Glaucoma: Laser Trabeculoplasty Surgery,Outpatient Surgery,643.07,564.66,709.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Medical Center,Seattle,98101.0,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,196.15,81.76,384.38,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Medical Center,Seattle,98101.0,Remove Uterine Lesions/Cysts: Laparoscopic,Outpatient Surgery,12710.62,11213.42,17794.32,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Whidbeyhealth Medical Center,Coupeville,98239.0,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,82.74,79.66,88.06,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Whidbeyhealth Medical Center,Coupeville,98239.0,Screening Digital Mammogram,Outpatient Diagnostic,249.56,149.09,367.87,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Whitman Hospital & Medical Center,Colfax,99111.0,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,2434.65,2248.97,2690.68,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Whitman Hospital & Medical Center,Colfax,99111.0,Colonoscopy with Lesion Removal,Outpatient Surgery,3371.78,2948.36,4199.55,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Whitman Hospital & Medical Center,Colfax,99111.0,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,557.34,478.58,583.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Yakima Regional Medical & Cardiac Center,Yakima,98902.0,Colonoscopy with Lesion Removal,Outpatient Surgery,2217.55,1506.51,2538.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Yakima Regional Medical & Cardiac Center,Yakima,98902.0,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,329.53,265.89,487.57,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Yakima Regional Medical & Cardiac Center,Yakima,98902.0,Bone Mineral Density Scan,Outpatient Diagnostic,178.33,155.07,294.82,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Yakima Regional Medical & Cardiac Center,Yakima,98902.0,Coronary Artery Angiogram,Outpatient Surgery,7431.68,6247.78,8657.11,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Yakima Regional Medical & Cardiac Center,Yakima,98902.0,Screening Digital Mammogram,Outpatient Diagnostic,186.01,182.56,211.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902.0,Colonoscopy and Biopsy,Outpatient Surgery,2955.53,2472.41,3637.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902.0,MRI of the Spine,Outpatient Diagnostic,888.97,873.8,964.38,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902.0,X-ray of Knee: 3+ Views,Outpatient Diagnostic,130.89,116.73,183.88,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902.0,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,324.95,300.56,441.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Francis Hospital,Federal Way,98003.0,Colonoscopy and Biopsy,Outpatient Surgery,2679.12,2384.35,3493.13,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Francis Hospital,Federal Way,98003.0,MRI of the Spine,Outpatient Diagnostic,990.33,848.96,1036.94,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Joseph Medical Center,Tacoma,98405.0,Colonoscopy and Biopsy,Outpatient Surgery,2822.23,2185.35,3700.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Joseph Medical Center,Tacoma,98405.0,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,819.28,811.93,1638.56,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Joseph Medical Center,Tacoma,98405.0,Spine Epidural Injection,Outpatient Diagnostic,1946.97,1650.54,2111.94,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,St. Joseph Medical Center,Tacoma,98405.0,Coronary Angioplasty: Outpatient,Outpatient Surgery,30146.63,28527.91,36552.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Sunnyside Community Hospital & Clinics,Sunnyside,98944.0,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,506.4,474.37,570.08,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Edmonds,Edmonds,98026.0,Screening Digital Mammogram,Outpatient Diagnostic,231.48,215.91,265.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Edmonds,Edmonds,98026.0,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,219.52,203.2,254.51,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish First Hill,Seattle,98122.0,Total Hysterectomy: Laparoscopic,Outpatient Surgery,14966.24,12665.69,17576.54,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish First Hill,Seattle,98122.0,Spine Epidural Injection,Outpatient Diagnostic,1667.26,1420.06,1719.4,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Forks Community Hospital,Forks,98331.0,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,497.2,465.23,503.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Grays Harbor Community Hospital,Aberdeen,98520.0,Echocardiogram,Outpatient Diagnostic,726.71,645.26,991.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Grays Harbor Community Hospital,Aberdeen,98520.0,Screening Digital Mammogram,Outpatient Diagnostic,241.73,205.67,247.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Harrison Medical Center,Bremerton,98310.0,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,275.24,266.26,301.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Harrison Medical Center,Bremerton,98310.0,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,157.25,136.22,250.46,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Highline Medical Center,Tukwila,98168.0,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1912.16,1809.24,2928.02,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Highline Medical Center,Tukwila,98168.0,Diagnostic Colonoscopy,Outpatient Surgery,2009.62,1916.31,2351.4,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Island Hospital,Anacortes,98221.0,X-ray of Knee: 3+ Views,Outpatient Diagnostic,94.51,54.04,207.03,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Island Hospital,Anacortes,98221.0,Bone Mineral Density Scan,Outpatient Diagnostic,138.48,128.65,191.14,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Jefferson Healthcare,Port Townsend,98368.0,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,543.4,491.92,572.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Jefferson Healthcare,Port Townsend,98368.0,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,288.87,257.45,289.6,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902.0,Total Hysterectomy,Inpatient APR,13930.18,12472.82,16696.01,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Valley Hospital,Spokane Valley,99216.0,Total Knee Replacement,Inpatient APR,24875.47,23133.21,26661.06,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kootenai Health,Coeur D Alene,83814.0,Cesarean Section,Inpatient APR,13791.15,12779.98,14733.95,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Statewide,,,,Total Knee Replacement,Inpatient APR,33539.62,26791.78,41576.87,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Capital Medical Center,Olympia,98502.0,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,325.96,305.81,339.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Pacific Cataract And Laser Institute - Bellingham,Bellingham,98226.0,Cataract Removal with Implant of Lens,Outpatient Surgery,2119.92,2042.81,2259.3,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Express Care,Mukilteo,98275.0,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,109.87,109.04,114.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Express Care,Mukilteo,98275.0,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,228.19,225.92,228.19,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Digestive Disease & Endoscopy Center,Bremerton,98310.0,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,990.35,901.61,1212.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Eastside Endoscopy Center - Issaquah,Issaquah,98027.0,Colonoscopy and Biopsy,Outpatient Surgery,1796.64,1639.89,2096.01,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Ehlers Eye Surgery,Yakima,98902.0,After-Cataract Laser Surgery,Outpatient Surgery,722.78,681.77,868.79,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Everett Clinic - Kemp Surgery Center,Everett,98201.0,Cataract Removal with Implant of Lens,Outpatient Surgery,3291.43,3210.0,3650.86,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Everett Clinic - Trask Surgery Center,Everett,98201.0,Hysteroscopy with Biopsy,Outpatient Surgery,3193.09,2468.19,3293.5,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,First Hill Surgery Center,Seattle,98104.0,Knee Arthroscopy,Outpatient Surgery,4766.39,4348.86,5276.6,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Digestive Health Network Endoscopy Network,Federal Way,98003.0,Colonoscopy and Biopsy,Outpatient Surgery,1779.16,1612.0,2201.63,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Gastroenterology Associates,Olympia,98506.0,Diagnostic Colonoscopy,Outpatient Surgery,1034.76,1014.51,1069.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Western Washington Medical Group,Everett,98201.0,Colonoscopy and Biopsy,Outpatient Surgery,1244.33,1167.94,1704.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Western Washington Medical Group,Everett,98201.0,Screening Digital Mammogram,Outpatient Diagnostic,221.04,154.35,230.58,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Microsurgical Spine Center,Puyallup,98372.0,Laminectomy,Outpatient Surgery,8414.75,6602.8,8766.02,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish - Minor And James Medical,Seattle,98104.0,MRI of the Spine,Outpatient Diagnostic,643.33,469.92,723.62,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish - Minor And James Medical,Seattle,98104.0,X-ray of Knee: 3+ Views,Outpatient Diagnostic,73.27,67.34,82.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Ambulatory Physicians,Richland,99352.0,Diagnostic Colonoscopy,Outpatient Surgery,1412.66,1246.37,1524.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Ambulatory Physicians,Richland,99352.0,Spine Epidural Injection,Outpatient Diagnostic,672.08,553.68,735.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Endoscopy Center,Bellingham,98225.0,Diagnostic Colonoscopy,Outpatient Surgery,1172.11,923.12,1240.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Eye Surgeons - Mount Vernon,Mount Vernon,98273.0,Cataract Removal with Implant of Lens,Outpatient Surgery,2403.8,2301.8,2571.04,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Eye Surgeons - Seattle,Seattle,98133.0,Cataract Removal with Implant of Lens,Outpatient Surgery,2339.0,2198.16,2433.53,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Eye Surgeons - Sequim,Sequim,98382.0,Cataract Removal with Implant of Lens,Outpatient Surgery,2388.09,2249.02,2525.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
