Fiscal Year,County,Region,Children Receiving Adoption Subsidy,Federally Funded (Title IV-E),State Paid
2023,Matagorda,6-Houston,39,38,1
2023,Maverick,8-San Antonio,26,24,2
2023,McCulloch,9-Midland,52,50,2
2023,McLennan,7-Austin,1210,1162,48
2023,Medina,8-San Antonio,286,259,27
2023,Menard,9-Midland,13,13,0
2023,Midland,9-Midland,275,257,18
2023,Milam,7-Austin,145,128,17
2023,Mills,7-Austin,18,18,0
2023,Mitchell,2-Abilene,4,4,0
2023,Montague,2-Abilene,67,65,2
2023,Montgomery,6-Houston,916,829,88
2023,Moore,1-Lubbock,36,30,6
2023,Morris,4-Tyler,22,21,1
2023,Motley,1-Lubbock,2,1,1
2023,Nacogdoches,5-Beaumont,250,228,22
2023,Navarro,3-Arlington,159,149,10
2023,Newton,5-Beaumont,27,24,3
2023,Nolan,2-Abilene,32,32,0
2023,None Specified,None Specified,20,20,0
2023,Nueces,11-Edinburg,651,613,38
2023,Ochiltree,1-Lubbock,9,9,0
2023,Orange,5-Beaumont,288,265,23
2023,Palo Pinto,3-Arlington,182,172,10
2023,Panola,4-Tyler,29,28,1
2023,Parker,3-Arlington,277,268,9
2023,Parmer,1-Lubbock,17,16,1
2023,Pecos,9-Midland,18,16,2
2023,Polk,5-Beaumont,99,87,12
2023,Potter,1-Lubbock,525,507,18
2023,Presidio,10-El Paso,1,1,0
2023,Rains,4-Tyler,40,39,1
2023,Randall,1-Lubbock,440,411,29
2023,Reagan,9-Midland,11,11,0
2023,Real,8-San Antonio,15,13,2
2023,Red River,4-Tyler,26,24,2
2023,Reeves,9-Midland,9,9,0
2023,Refugio,11-Edinburg,8,8,0
2023,Robertson,7-Austin,52,49,3
2023,Rockwall,3-Arlington,104,96,8
2023,Runnels,2-Abilene,26,25,1
2023,Rusk,4-Tyler,88,84,4
2023,Sabine,5-Beaumont,31,27,4
2023,San Augustine,5-Beaumont,11,10,1
2023,San Jacinto,5-Beaumont,27,26,1
2023,San Patricio,11-Edinburg,168,152,16
2023,San Saba,7-Austin,35,34,1
2023,Schleicher,9-Midland,4,4,0
2023,Scurry,2-Abilene,34,33,1
2023,Shackelford,2-Abilene,4,4,0
2023,Shelby,5-Beaumont,50,47,3
2023,Sherman,1-Lubbock,6,6,0
2023,Smith,4-Tyler,609,530,79
2023,Somervell,3-Arlington,16,13,3
2023,Starr,11-Edinburg,16,15,1
2023,Stephens,2-Abilene,16,16,0
2023,Stonewall,2-Abilene,4,4,0
2023,Sutton,9-Midland,10,10,0
2023,Swisher,1-Lubbock,30,28,2
2023,Tarrant,3-Arlington,2821,2643,178
2023,Taylor,2-Abilene,415,399,16
2023,Terry,1-Lubbock,43,41,2
2023,Throckmorton,2-Abilene,1,1,0
2023,Titus,4-Tyler,65,61,4
2023,Tom Green,9-Midland,595,576,19
2023,Travis,7-Austin,2546,2273,273
2023,Trinity,5-Beaumont,41,39,2
2023,Tyler,5-Beaumont,35,33,2
2023,Upshur,4-Tyler,119,111,8
2023,Upton,9-Midland,7,7,0
2023,Uvalde,8-San Antonio,122,110,12
2023,Val Verde,8-San Antonio,84,80,4
2023,Van Zandt,4-Tyler,231,210,21
2023,Victoria,8-San Antonio,242,222,20
2023,Walker,6-Houston,44,43,1
2023,Waller,6-Houston,85,84,1
2023,Ward,9-Midland,28,28,0
2023,Washington,7-Austin,49,48,1
2023,Webb,11-Edinburg,338,323,15
2023,Wharton,6-Houston,67,60,7
2023,Wheeler,1-Lubbock,10,10,0
2023,Wichita,2-Abilene,396,385,11
2023,Wilbarger,2-Abilene,27,26,1
2023,Willacy,11-Edinburg,39,33,6
2023,Williamson,7-Austin,784,725,60
2023,Wilson,8-San Antonio,128,108,20
2023,Winkler,9-Midland,16,14,2
2023,Wise,3-Arlington,112,112,0
2023,Wood,4-Tyler,112,96,16
2023,Yoakum,1-Lubbock,7,7,0
2023,Young,2-Abilene,67,66,1
2023,Zapata,11-Edinburg,6,6,0
2023,Zavala,8-San Antonio,55,50,5
2022,Anderson,4-Tyler,140,126,14
2022,Andrews,9-Midland,45,43,2
2022,Angelina,5-Beaumont,236,227,9
2022,Aransas,11-Edinburg,146,145,1
2022,Archer,2-Abilene,5,5,0
2022,Armstrong,1-Lubbock,1,1,0
2022,Atascosa,8-San Antonio,381,347,34
2022,Austin,6-Houston,24,24,0
2022,Bailey,1-Lubbock,21,21,0
2022,Bandera,8-San Antonio,100,93,7
2022,Bastrop,7-Austin,320,266,54
2022,Baylor,2-Abilene,1,1,0
2022,Bee,11-Edinburg,84,80,4
2022,Bell,7-Austin,1201,1058,143
2022,Bexar,8-San Antonio,9946,8977,969
2022,Blanco,7-Austin,27,24,3
2022,Bosque,7-Austin,75,70,5
2022,Bowie,4-Tyler,142,127,15
2022,Brazoria,6-Houston,264,249,15
2022,Brazos,7-Austin,316,289,27
2022,Brewster,10-El Paso,11,11,0
2022,Briscoe,1-Lubbock,4,4,0
2022,Brooks,11-Edinburg,15,15,0
2022,Brown,2-Abilene,269,257,12
2022,Burleson,7-Austin,55,49,6
2022,Burnet,7-Austin,218,185,33
2022,Caldwell,7-Austin,196,186,10
2022,Calhoun,8-San Antonio,27,26,1
2022,Callahan,2-Abilene,32,32,0
2022,Cameron,11-Edinburg,276,268,8
2022,Camp,4-Tyler,45,38,7
2022,Carson,1-Lubbock,19,19,0
2022,Cass,4-Tyler,61,55,6
2022,Castro,1-Lubbock,16,14,2
2022,Chambers,6-Houston,33,29,4
2022,Cherokee,4-Tyler,205,188,17
2022,Childress,1-Lubbock,29,23,6
2022,Clay,2-Abilene,9,8,1
2022,Cochran,1-Lubbock,3,2,1
2022,Coke,9-Midland,10,10,0
2022,Coleman,2-Abilene,25,25,0
2022,Collin,3-Arlington,644,586,58
2022,Collingsworth,1-Lubbock,16,16,0
2022,Colorado,6-Houston,50,48,2
2022,Comal,8-San Antonio,417,374,43
2022,Comanche,2-Abilene,35,35,0
2022,Concho,9-Midland,4,4,0
2022,Cooke,3-Arlington,130,122,8
2022,Coryell,7-Austin,207,192,15
2022,Crane,9-Midland,5,5,0
2022,Crockett,9-Midland,9,9,0
2022,Crosby,1-Lubbock,26,26,0
2022,Culberson,10-El Paso,5,5,0
2022,Dallam,1-Lubbock,26,26,0
2022,Dallas,3-Arlington,3197,3009,189
2022,Dawson,9-Midland,52,49,3
2022,DeWitt,8-San Antonio,62,56,6
2022,Deaf Smith,1-Lubbock,61,59,2
2022,Delta,4-Tyler,16,13,3
2022,Denton,3-Arlington,935,864,71
2022,Dickens,1-Lubbock,4,4,0
2022,Dimmit,8-San Antonio,64,60,4
2022,Donley,1-Lubbock,16,16,0
2022,Duval,11-Edinburg,24,23,1
2022,Eastland,2-Abilene,33,32,1
2022,Ector,9-Midland,518,477,41
2022,Edwards,8-San Antonio,5,5,0
2022,El Paso,10-El Paso,935,909,26
2022,Ellis,3-Arlington,197,182,15
2022,Erath,3-Arlington,48,47,1
2022,Falls,7-Austin,40,40,0
2022,Fannin,3-Arlington,102,94,8
2022,Fayette,7-Austin,76,64,12
2022,Fisher,2-Abilene,6,5,1
2022,Floyd,1-Lubbock,22,21,1
2022,Foard,2-Abilene,2,2,0
2022,Fort Bend,6-Houston,300,282,18
2022,Franklin,4-Tyler,23,19,4
2022,Freestone,7-Austin,33,29,4
2022,Frio,8-San Antonio,185,165,20
2022,Gaines,9-Midland,43,40,3
2022,Galveston,6-Houston,528,511,17
2022,Garza,1-Lubbock,10,9,1
2022,Gillespie,8-San Antonio,54,44,10
2022,Goliad,8-San Antonio,4,4,0
2022,Gonzales,8-San Antonio,66,62,4
2022,Gray,1-Lubbock,94,81,13
2022,Grayson,3-Arlington,307,279,28
2022,Gregg,4-Tyler,422,387,35
2022,Grimes,7-Austin,53,50,3
2022,Guadalupe,8-San Antonio,312,291,21
2022,Hale,1-Lubbock,117,114,3
2022,Hall,1-Lubbock,9,9,0
2022,Hamilton,7-Austin,16,16,0
2022,Hansford,1-Lubbock,7,7,0
2022,Hardeman,2-Abilene,3,3,0
2022,Hardin,5-Beaumont,90,82,8
2022,Harris,6-Houston,8061,7462,599
2022,Harrison,4-Tyler,124,113,11
2022,Hartley,1-Lubbock,7,7,0
2022,Haskell,2-Abilene,24,24,0
2022,Hays,7-Austin,411,384,27
2022,Hemphill,1-Lubbock,9,9,0
2022,Henderson,4-Tyler,302,265,37
2022,Hidalgo,11-Edinburg,208,208,0
2022,Hill,7-Austin,123,112,11
2022,Hockley,1-Lubbock,126,121,5
2022,Hood,3-Arlington,116,108,8
2022,Hopkins,4-Tyler,137,125,12
2022,Houston,5-Beaumont,61,61,0
2022,Howard,9-Midland,115,109,6
2022,Hudspeth,10-El Paso,1,1,0
2022,Hunt,3-Arlington,483,443,40
2022,Hutchinson,1-Lubbock,53,51,2
2022,Irion,9-Midland,3,3,0
2022,Jack,2-Abilene,3,3,0
2022,Jackson,8-San Antonio,45,44,1
2022,Jasper,5-Beaumont,125,121,4
2022,Jefferson,5-Beaumont,663,610,53
2022,Jim Hogg,11-Edinburg,6,6,0
2022,Jim Wells,11-Edinburg,86,79,7
2022,Johnson,3-Arlington,429,404,25
2022,Jones,2-Abilene,29,29,0
2022,Karnes,8-San Antonio,62,60,2
2022,Kaufman,3-Arlington,267,238,29
2022,Kendall,8-San Antonio,70,63,7
2022,Kerr,8-San Antonio,262,222,40
2022,Kimble,9-Midland,17,16,1
2022,Kinney,8-San Antonio,8,8,0
2022,Kleberg,11-Edinburg,72,67,5
2022,Knox,2-Abilene,6,6,0
2022,La Salle,8-San Antonio,35,27,8
2022,Lamar,4-Tyler,121,111,10
2022,Lamb,1-Lubbock,35,34,1
2022,Lampasas,7-Austin,74,69,5
2022,Lavaca,8-San Antonio,52,49,3
2022,Lee,7-Austin,37,36,1
2022,Leon,7-Austin,25,23,2
2022,Liberty,6-Houston,209,191,18
2022,Limestone,7-Austin,61,54,7
2022,Lipscomb,1-Lubbock,7,7,0
2022,Live Oak,11-Edinburg,33,32,1
2022,Llano,7-Austin,84,78,7
2022,Lubbock,1-Lubbock,1667,1567,100
2022,Lynn,1-Lubbock,8,8,0
2022,Madison,7-Austin,30,28,2
2022,Marion,4-Tyler,19,19,0
2022,Martin,9-Midland,1,1,0
2022,Mason,9-Midland,9,9,0
2022,Matagorda,6-Houston,41,40,1
2022,Maverick,8-San Antonio,24,22,2
2022,McCulloch,9-Midland,42,40,2
2022,McLennan,7-Austin,1213,1161,52
2022,Medina,8-San Antonio,290,260,30
2022,Menard,9-Midland,11,11,0
2022,Midland,9-Midland,266,245,21
2022,Milam,7-Austin,133,115,18
2022,Mills,7-Austin,12,12,0
2022,Mitchell,2-Abilene,3,3,0
2022,Montague,2-Abilene,57,54,3
2022,Montgomery,6-Houston,929,830,99
2022,Moore,1-Lubbock,31,25,6
2022,Morris,4-Tyler,22,21,1
2022,Motley,1-Lubbock,2,1,1
2022,Nacogdoches,5-Beaumont,243,217,26
2022,Navarro,3-Arlington,171,158,13
2022,Newton,5-Beaumont,26,23,3
2022,Nolan,2-Abilene,34,34,0
2022,None Specified,None Specified,17,17,0
2022,Nueces,11-Edinburg,624,584,40
2022,Ochiltree,1-Lubbock,9,9,0
2022,Orange,5-Beaumont,279,254,25
2022,Palo Pinto,3-Arlington,175,165,10
2022,Panola,4-Tyler,25,24,1
2022,Parker,3-Arlington,275,263,12
2022,Parmer,1-Lubbock,18,17,1
2022,Pecos,9-Midland,27,25,2
2022,Polk,5-Beaumont,92,80,12
2022,Potter,1-Lubbock,529,510,19
2022,Presidio,10-El Paso,1,1,0
2022,Rains,4-Tyler,40,39,1
2022,Randall,1-Lubbock,437,405,32
2022,Reagan,9-Midland,12,12,0
2022,Real,8-San Antonio,15,13,2
2022,Red River,4-Tyler,27,25,2
2022,Reeves,9-Midland,17,17,0
2022,Refugio,11-Edinburg,8,8,0
2022,Robertson,7-Austin,51,48,3
2022,Rockwall,3-Arlington,102,94,8
2022,Runnels,2-Abilene,26,25,1
2022,Rusk,4-Tyler,86,83,3
2022,Sabine,5-Beaumont,26,22,4
2022,San Augustine,5-Beaumont,11,10,1
2022,San Jacinto,5-Beaumont,27,26,1
2022,San Patricio,11-Edinburg,168,151,17
2022,San Saba,7-Austin,37,36,1
2022,Schleicher,9-Midland,4,4,0
2022,Scurry,2-Abilene,31,30,1
2022,Shackelford,2-Abilene,4,4,0
2022,Shelby,5-Beaumont,48,45,3
2022,Sherman,1-Lubbock,7,6,1
2022,Smith,4-Tyler,583,498,85
2022,Somervell,3-Arlington,15,12,3
2022,Starr,11-Edinburg,19,18,1
2022,Stephens,2-Abilene,14,14,0
2022,Stonewall,2-Abilene,4,4,0
2022,Sutton,9-Midland,8,8,0
2022,Swisher,1-Lubbock,33,31,2
2022,Tarrant,3-Arlington,2821,2618,203
2022,Taylor,2-Abilene,388,369,19
2022,Terry,1-Lubbock,47,43,4
2022,Titus,4-Tyler,69,64,5
2022,Tom Green,9-Midland,586,567,19
2022,Travis,7-Austin,2602,2311,291
2022,Trinity,5-Beaumont,36,34,2
2022,Tyler,5-Beaumont,33,31,2
2022,Upshur,4-Tyler,118,109,9
2022,Upton,9-Midland,7,7,0
2022,Uvalde,8-San Antonio,127,113,14
2022,Val Verde,8-San Antonio,77,73,4
2022,Van Zandt,4-Tyler,220,199,21
2022,Victoria,8-San Antonio,264,240,24
2022,Walker,6-Houston,52,51,1
2022,Waller,6-Houston,86,84,2
2022,Ward,9-Midland,24,24,0
2022,Washington,7-Austin,52,50,2
2022,Webb,11-Edinburg,345,329,16
2022,Wharton,6-Houston,65,57,8
2022,Wheeler,1-Lubbock,10,10,0
2022,Wichita,2-Abilene,362,349,13
2022,Wilbarger,2-Abilene,24,23,1
2022,Willacy,11-Edinburg,39,33,6
2022,Williamson,7-Austin,778,711,67
2022,Wilson,8-San Antonio,129,105,24
2022,Winkler,9-Midland,22,20,2
2022,Wise,3-Arlington,113,112,2
2022,Wood,4-Tyler,118,100,18
2022,Yoakum,1-Lubbock,9,9,0
2022,Young,2-Abilene,62,61,1
2022,Zapata,11-Edinburg,6,6,0
2022,Zavala,8-San Antonio,55,50,5
2021,Anderson,4-Tyler,113,97,16
2021,Andrews,9-Midland,38,36,2
2021,Angelina,5-Beaumont,222,213,9
2021,Aransas,11-Edinburg,136,135,1
2021,Archer,2-Abilene,2,2,0
2021,Armstrong,1-Lubbock,1,1,0
2021,Atascosa,8-San Antonio,380,341,39
2021,Austin,6-Houston,25,24,1
2021,Bailey,1-Lubbock,21,21,0
2021,Bandera,8-San Antonio,100,92,8
2021,Bastrop,7-Austin,317,260,57
2021,Baylor,2-Abilene,2,1,1
2021,Bee,11-Edinburg,85,81,4
2021,Bell,7-Austin,1132,979,153
2021,Bexar,8-San Antonio,10065,9031,1034
2021,Blanco,7-Austin,27,24,3
2021,Bosque,7-Austin,74,68,6
2021,Bowie,4-Tyler,152,134,18
2021,Brazoria,6-Houston,260,239,21
2021,Brazos,7-Austin,312,284,28
2021,Brewster,10-El Paso,11,11,0
2021,Briscoe,1-Lubbock,1,1,0
2021,Brooks,11-Edinburg,15,15,0
2021,Brown,2-Abilene,262,248,14
2021,Burleson,7-Austin,51,45,6
2021,Burnet,7-Austin,217,182,35
2021,Caldwell,7-Austin,186,175,11
2021,Calhoun,8-San Antonio,22,21,1
2021,Callahan,2-Abilene,29,29,0
2021,Cameron,11-Edinburg,258,250,8
2021,Camp,4-Tyler,46,37,9
2021,Carson,1-Lubbock,21,21,0
2021,Cass,4-Tyler,60,52,8
2021,Castro,1-Lubbock,18,16,2
2021,Chambers,6-Houston,32,28,4
2021,Cherokee,4-Tyler,201,184,17
2021,Childress,1-Lubbock,30,24,6
2021,Clay,2-Abilene,10,8,2
2021,Cochran,1-Lubbock,4,2,2
2021,Coke,9-Midland,13,13,0
2021,Coleman,2-Abilene,26,26,0
2021,Collin,3-Arlington,636,572,64
2021,Collingsworth,1-Lubbock,16,16,0
2021,Colorado,6-Houston,47,45,2
2021,Comal,8-San Antonio,401,357,44
2021,Comanche,2-Abilene,33,33,0
2021,Concho,9-Midland,4,4,0
2021,Cooke,3-Arlington,133,122,11
2021,Coryell,7-Austin,187,172,15
2021,Crane,9-Midland,4,4,0
2021,Crockett,9-Midland,8,8,0
2021,Crosby,1-Lubbock,28,28,0
2021,Culberson,10-El Paso,5,5,0
2021,Dallam,1-Lubbock,19,19,0
2021,Dallas,3-Arlington,3276,3063,213
2021,Dawson,9-Midland,51,48,3
2021,DeWitt,8-San Antonio,61,55,6
2021,Deaf Smith,1-Lubbock,59,57,2
2021,Delta,4-Tyler,19,16,3
2021,Denton,3-Arlington,907,823,84
2021,Dickens,1-Lubbock,4,4,0
2021,Dimmit,8-San Antonio,62,58,4
2021,Donley,1-Lubbock,19,19,0
2021,Duval,11-Edinburg,15,14,1
2021,Eastland,2-Abilene,31,29,2
2021,Ector,9-Midland,490,449,41
2021,Edwards,8-San Antonio,5,5,0
2021,El Paso,10-El Paso,961,932,29
2021,Ellis,3-Arlington,196,180,16
2021,Erath,3-Arlington,46,45,1
2021,Falls,7-Austin,42,42,0
2021,Fannin,3-Arlington,97,88,9
2021,Fayette,7-Austin,77,65,12
2021,Fisher,2-Abilene,6,5,1
2021,Floyd,1-Lubbock,25,24,1
2021,Foard,2-Abilene,2,2,0
2021,Fort Bend,6-Houston,298,274,24
2021,Franklin,4-Tyler,21,17,4
2021,Freestone,7-Austin,35,31,4
2021,Frio,8-San Antonio,181,160,21
2021,Gaines,9-Midland,42,39,3
2021,Galveston,6-Houston,512,491,21
2021,Garza,1-Lubbock,9,8,1
2021,Gillespie,8-San Antonio,54,43,11
2021,Goliad,8-San Antonio,5,5,0
2021,Gonzales,8-San Antonio,70,66,4
2021,Gray,1-Lubbock,99,86,13
2021,Grayson,3-Arlington,311,281,30
2021,Gregg,4-Tyler,410,371,39
2021,Grimes,7-Austin,54,51,3
2021,Guadalupe,8-San Antonio,319,298,21
2021,Hale,1-Lubbock,115,111,4
2021,Hall,1-Lubbock,8,7,1
2021,Hamilton,7-Austin,16,16,0
2021,Hansford,1-Lubbock,9,9,0
2021,Hardeman,2-Abilene,3,3,0
2021,Hardin,5-Beaumont,81,72,9
2021,Harris,6-Houston,8406,7737,671
2021,Harrison,4-Tyler,130,115,15
2021,Hartley,1-Lubbock,7,7,0
2021,Haskell,2-Abilene,24,24,0
2021,Hays,7-Austin,388,359,29
2021,Hemphill,1-Lubbock,10,10,0
2021,Henderson,4-Tyler,283,245,38
2021,Hidalgo,11-Edinburg,196,196,0
2021,Hill,7-Austin,124,111,14
2021,Hockley,1-Lubbock,127,121,6
2021,Hood,3-Arlington,110,102,8
2021,Hopkins,4-Tyler,131,119,12
2021,Houston,5-Beaumont,58,58,0
2021,Howard,9-Midland,112,106,6
2021,Hudspeth,10-El Paso,1,1,0
2021,Hunt,3-Arlington,472,430,42
2021,Hutchinson,1-Lubbock,54,52,2
2021,Jack,2-Abilene,5,5,0
2021,Jackson,8-San Antonio,37,36,1
2021,Jasper,5-Beaumont,117,111,6
2021,Jefferson,5-Beaumont,642,586,56
2021,Jim Hogg,11-Edinburg,6,6,0
2021,Jim Wells,11-Edinburg,87,80,7
2021,Johnson,3-Arlington,434,408,26
2021,Jones,2-Abilene,29,29,0
2021,Karnes,8-San Antonio,58,57,1
2021,Kaufman,3-Arlington,270,239,31
2021,Kendall,8-San Antonio,67,59,8
2021,Kerr,8-San Antonio,263,222,41
2021,Kimble,9-Midland,15,14,1
2021,Kinney,8-San Antonio,7,7,0
2021,Kleberg,11-Edinburg,74,69,5
2021,Knox,2-Abilene,3,3,0
2021,La Salle,8-San Antonio,34,26,8
2021,Lamar,4-Tyler,99,88,11
2021,Lamb,1-Lubbock,40,39,1
2021,Lampasas,7-Austin,65,60,5
2021,Lavaca,8-San Antonio,55,52,3
2021,Lee,7-Austin,32,31,1
2021,Leon,7-Austin,26,24,2
2021,Liberty,6-Houston,213,193,20
2021,Limestone,7-Austin,61,53,8
2021,Lipscomb,1-Lubbock,9,9,0
2021,Live Oak,11-Edinburg,33,32,1
2021,Llano,7-Austin,77,70,7
2021,Lubbock,1-Lubbock,1719,1610,109
2021,Lynn,1-Lubbock,9,9,0
2021,Madison,7-Austin,29,27,2
2021,Marion,4-Tyler,16,16,0
2021,Mason,9-Midland,10,10,0
2021,Matagorda,6-Houston,48,47,1
2021,Maverick,8-San Antonio,25,23,2
2021,McCulloch,9-Midland,36,34,2
2021,McLennan,7-Austin,1147,1087,60
2021,Medina,8-San Antonio,300,267,33
2021,Menard,9-Midland,9,9,0
2021,Midland,9-Midland,270,246,24
2021,Milam,7-Austin,130,111,19
2021,Mills,7-Austin,13,13,0
2021,Mitchell,2-Abilene,3,3,0
2021,Montague,2-Abilene,53,49,4
2021,Montgomery,6-Houston,954,844,110
2021,Moore,1-Lubbock,27,21,6
2021,Morris,4-Tyler,22,21,1
2021,Motley,1-Lubbock,2,1,1
2021,Nacogdoches,5-Beaumont,218,193,25
2021,Navarro,3-Arlington,167,153,14
2021,Newton,5-Beaumont,26,23,3
2021,Nolan,2-Abilene,39,39,0
2021,None Specified,None Specified,22,20,2
2021,Nueces,11-Edinburg,610,564,46
2021,Ochiltree,1-Lubbock,7,7,0
2021,Oldham,1-Lubbock,4,4,0
2021,Orange,5-Beaumont,250,225,25
2021,Palo Pinto,3-Arlington,163,154,9
2021,Panola,4-Tyler,24,23,1
